instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000003,0.007408,0.000003,0.895669,928,3188,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
1,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000002,0.008147,0.000002,0.925363,995,3538,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
10,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000001,0.007296,0.000001,1.045757,1156,3949,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
2,0,None,64,20.570922,20.570922,20.570922,21.480711,34.000000,34.000000,0.000002,0.007210,0.000002,0.879703,978,3358,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
3,0,None,64,20.441266,20.441266,20.441266,21.358725,33.875000,33.875000,0.000002,0.008427,0.000002,0.709019,754,2967,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
4,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000001,0.007229,0.000001,1.047342,1151,3988,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
5,0,None,64,20.611585,20.611585,20.611585,21.528764,34.000000,34.000000,0.000002,0.007271,0.000002,1.112148,1214,4156,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
6,0,None,64,20.695922,20.695922,20.695922,21.574373,34.125000,34.125000,0.000002,0.007325,0.000002,0.772005,823,3012,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
7,0,None,64,20.572359,20.572359,20.572359,21.483725,34.000000,34.000000,0.000002,0.003819,0.000002,0.865315,963,3413,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
8,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000001,0.008190,0.000001,0.773147,802,3046,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
9,0,None,64,20.575577,20.575577,20.575577,21.480711,34.000000,34.000000,0.000002,0.007879,0.000002,0.757614,786,2961,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
