instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000002,0.007497,0.000002,0.889875,928,3188,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
1,0,None,64,26.314624,26.314624,26.314624,27.659033,42.000000,42.000000,0.000002,0.008856,0.000002,1.564658,1768,6339,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,10,1
10,0,None,64,18.276008,18.276008,18.276008,18.303197,29.000000,29.000000,0.000002,0.007933,0.000002,0.645521,711,2379,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,8,1
2,0,None,64,21.775884,21.775884,21.775884,22.141135,35.000000,35.000000,0.000002,0.008567,0.000002,0.939452,1058,3497,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,10,1
3,0,None,64,24.149033,24.149033,24.149033,24.946880,37.000000,37.000000,0.000002,0.008433,0.000002,1.195212,1266,4664,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,12,1
4,0,None,64,17.007102,17.007102,17.007102,17.011451,30.000000,30.000000,0.000001,0.010525,0.000001,0.495000,518,1987,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,12,1
5,0,None,64,17.734946,17.734946,17.734946,17.999159,28.000000,28.000000,0.000002,0.008656,0.000002,0.533149,542,1907,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,12,1
6,0,None,64,18.222770,18.222770,18.222770,18.919723,32.000000,32.000000,0.000002,0.010472,0.000002,0.741640,766,3274,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,10,1
7,0,None,64,20.529117,20.529117,20.529117,21.471155,33.000000,33.000000,0.000002,0.008753,0.000002,0.883648,951,3500,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,9,1
8,0,None,64,14.311218,14.311218,14.311218,14.388701,27.000000,27.000000,0.000002,0.007786,0.000002,0.576569,601,2263,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,8,1
9,0,None,64,24.481534,24.481534,24.481534,25.380115,35.000000,35.000000,0.000001,0.008603,0.000001,0.683122,696,2442,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,14,1
